X,Y,GLOBAL_ID,NAME,ELEVATION,SERVCITY,STATE,IDENT,ICAO_ID
-110.942182932717,42.7087768836468,439CB855-1C00-4869-BA68-11BA39D31078,Afton Muni,6220.9,AFTON,WY,AFO,KAFO
-110.108872736985,42.5822286052501,8CC3A952-F5E6-411C-8A8A-0A496CD87CEC,Miley Meml Fld,6993.6,BIG PINEY,WY,BPI,KBPI
-106.721816712696,44.3810902029003,29E7943E-23CB-47DD-A8B0-E002AAAE7595,Johnson County,4970,BUFFALO,WY,BYG,KBYG
-109.023817258458,44.5202011305124,B111DEA6-24BD-4FEF-8EB4-656F5B30D63B,Yellowstone Rgnl,5102.3,CODY,WY,COD,KCOD
-106.46364975489,42.9058678289799,911AE2D7-3FB5-46A0-94EB-813B41FBFDE1,Casper/Natrona County Intl,5344,CASPER,WY,CPR,KCPR
-104.810482462128,41.1556455122748,C664BE98-2E23-44FA-8A95-DDFC6027742C,Cheyenne Rgnl/Jerry Olson Fld,6159.9,CHEYENNE,WY,CYS,KCYS
-105.385843932548,42.797201234432,AE9E79B2-19BF-4F4A-8D77-12D27F111273,Converse County,4932.7,DOUGLAS,WY,DGW,KDGW
-109.690839465178,43.5486579132772,1E100018-2875-46DA-A6D1-14F8A8A0B211,Dubois Muni,7298.6,DUBOIS,WY,DUB,KDUB
-107.492538893049,41.0374477972294,4B9C2D49-D8D9-41D5-AB86-5EFB22A1BEC4,Dixon,6548.9,DIXON,WY,DWX,KDWX
-104.92829344333,42.055526454059,1EB11C36-FDE3-4655-B6FF-E634598B1137,Phifer Airfield,4779.3,WHEATLAND,WY,EAN,KEAN
-104.314510507844,43.8842570105305,FF9D65FD-645F-46A8-8931-BA57FCE8040D,Mondell Fld,4177.5,NEWCASTLE,WY,ECS,KECS
-110.556956052845,41.8240895951603,2EC7349C-030B-4572-BAF6-24337860EBBB,Kemmerer Muni,7288.7,KEMMERER,WY,EMM,KEMM
-111.034650519726,41.2747839402421,B363E948-5F47-442D-9BD9-06A43E19DD6C,Evanston-Uinta County Burns Fld,7142.5,EVANSTON,WY,EVW,KEVW
-110.405983737994,41.3933395584757,BE3A5EDF-AAF2-4FDD-94E5-89B35A59E093,Fort Bridger,7038,FORT BRIDGER,WY,FBR,KFBR
-104.871399141577,41.1416732839474,C156B5F7-23A9-421F-A664-8747E0AB690D,Francis E Warren AFB,6160,CHEYENNE,WY,FEW,KFEW
-105.539378374248,44.348915021771,B2AF1481-210A-4948-98B5-23A46E4C18AC,Northeast Wyoming Rgnl,4365.1,GILLETTE,WY,GCC,KGCC
-108.083011491324,44.5179512123567,740F7D5F-2C16-4362-BC29-743745CE7C0C,South Big Horn County,3941.8,GREYBULL,WY,GEY,KGEY
-104.728315924407,42.2597567736066,57C3E4DC-0501-4C88-8211-E309CEA883A9,Camp Guernsey,4401.8,GUERNSEY,WY,GUR,KGUR
-106.309480833117,42.9244167325931,A96F1295-CFDD-47BD-8EB0-E5618C770CB0,Harford Fld,5370,CASPER,WY,HAD,KHAD
-108.38970587138,43.713617764068,2AAAC083-544C-4BFB-90F0-CA6F2263A2B0,Hot Springs County,4891.9,THERMOPOLIS,WY,HSG,KHSG
-110.737761921475,43.6073397735137,449DE79A-0B09-4520-93D3-F232960FA9CA,Jackson Hole,6450.7,JACKSON,WY,JAC,KJAC
-105.675010461312,41.312062135721,36879E51-5AD0-4F60-81A2-EBD552F5E8E4,Laramie Rgnl,7283.5,LARAMIE,WY,LAR,KLAR
-108.728574418136,42.8153912453113,4CE70A1F-5D38-48A7-85AE-B202DB2CD874,Hunt Fld,5588.9,LANDER,WY,LND,KLND
-104.404565917226,42.75381241781,621E097B-7970-45C1-9207-AE9168B1E0B7,Lusk Muni,4966.8,LUSK,WY,LSK,KLSK
-109.811039372947,42.7973953207915,B4F91F13-A721-4338-B944-8619B74970AD,Ralph Wenz Fld,7096.2,PINEDALE,WY,PNA,KPNA
-108.793428378249,44.8671734107255,B2295932-7060-46CA-B357-563CFC12EFC5,Powell Muni,5095.7,POWELL,WY,POY,KPOY
-108.459844673802,43.0642565738751,E1C1C9F9-1B1A-4213-A68A-468701526BA9,Central Wyoming Rgnl,5515.9,RIVERTON,WY,RIW,KRIW
-109.065205701867,41.5942285765708,5BB785B9-7552-40F6-A140-D2FC4065194F,Southwest Wyoming Rgnl,6764.6,ROCK SPRINGS,WY,RKS,KRKS
-107.200344208534,41.8057287477842,8B8F21AC-11F6-4DDD-B345-A0360DB8AF2D,Rawlins Muni/Harvey Fld,6816.7,RAWLINS,WY,RWL,KRWL
-106.827538519974,41.4435342875032,4264F999-02AE-4381-932C-309A5A4C1E65,Shively Fld,7014.2,SARATOGA,WY,SAA,KSAA
-106.980289059638,44.7692013356083,7A2D6BCF-E362-4EB3-87D5-33A89C1BCED5,Sheridan County,4021.1,SHERIDAN,WY,SHR,KSHR
-104.152689649008,42.0644281810514,67E6C333-0ABD-43DD-A176-6055EB2A567F,Torrington Muni,4206.9,TORRINGTON,WY,TOR,KTOR
-107.950539147183,43.9628956072152,0827C52C-4F72-4D98-B4BD-A01749B0E957,Worland Muni,4251.7,WORLAND,WY,WRL,KWRL
-104.236246530395,43.4266486270137,21852074-C506-41A2-AE26-794B16B2A084,Robbers Roost Ranch,3725,MULE CREEK JUNCTION,WY,WY44,
-104.868666370488,44.958612649701,6FCBFA53-BAF3-44D0-865A-9B1BC045C855,Thompson Creek Oilfield,3814,HULETT,WY,11WY,
-106.975430731066,44.8076735633265,C98C78EC-E629-4AF4-B857-CAC8B5473B6D,Sheridan Meml Hospital,3880,SHERIDAN,WY,9WY0,
-104.68858682887,44.6374909599312,E65D901E-7725-44F7-9BFC-32C293D1B122,Ipy Ranch,3960,HULETT,WY,WY14,
-108.163344824417,44.4111178606844,8A414805-914F-41BE-A3CB-D80FB3823E51,Dorsey Creek Ranch,4017,BASIN,WY,0WY1,
