OBJECTID,GLOBAL_ID,AIRPORT_ID,DESIGNATOR,LENGTH,WIDTH,DIM_UOM,COMP_CODE
20174,001B4CD7-BDDC-40B9-AE40-3761D4A80F77,9DC28924-78AB-4D71-B6C9-918BE082E139,01-19,4001,75,FT,ASPH
20208,A8186093-C7CB-434A-B609-743EBFA4B1A7,123529A0-3B1B-4FAC-85C9-E4028E1CED89,01-19,3832,50,FT,ASPH
20246,B9149A2E-9E83-451C-B9E7-E629271DB0FA,5D9D489B-BC35-4420-99A0-684074DA17F1,01-19,2498,75,FT,ASPH
20293,0B1E0F5C-481D-40A5-9018-E3863A7A1202,E7C1F76F-493A-4526-B0F3-98DB9E4EDF57,01-19,5000,150,FT,ASPH
20310,C9C5F19F-4250-4F8E-8DF5-7C38DFE80692,443DFC89-7918-471E-91D2-7E8BD3EE3A96,01-19,6001,100,FT,ASPH
20423,57AB0B27-394E-4E34-AB18-04452E0162AA,1179AD8A-C856-43EC-AD05-7402CCE56036,01-19,3038,150,FT,ASPH
20444,40E35E8D-4C6A-4ACB-AE33-2FB3462A842B,2DEAA3BE-8973-437F-8274-7F77D3A37396,01-19,2100,75,FT,ASPH
20448,EC6224B6-E5C0-49AF-AC59-79F363CA0076,E951F0BE-9ADE-4EBA-AF9D-BC6CDFD7F42A,01-19,5328,200,FT,ASPH
20501,9D81F576-036F-4510-B788-9FAF92B0E458,D2CC1B03-78E6-495B-AD13-F7E29F034413,01-19,1798,75,FT,ASPH
20169,7BF04EA9-F149-4546-A812-745A9E99D574,45BE111B-AACF-4E65-96BC-2F526BD37320,01-19,2548,75,FT,GRASS
20222,DBCC77B8-881C-4C4F-8648-400E8C6FC0C8,8EB28462-8D42-462A-B9DA-66CEEADEDB14,01-19,2113,15,FT,GRAVE
23243,756CE67C-9B91-4CE8-ADCE-4824C4B76034,AD573CCB-6372-4EE9-8573-19470EDC6A11,01/19,3292,22,FT,ASP+DIRT
1287,CFF694CD-A13A-48CD-BE4A-BC1322249E20,CFCC5F50-8870-4955-B17D-A15BB5CF4777,01/19,2330,160,FT,ASP+GRS
8487,08A5CCDA-26C1-46C7-814D-5B73841379CC,946126D5-656B-42B2-8519-27E6C494AD14,01/19,2500,150,FT,ASP+GRS
22344,6B6C7659-FF9E-4C51-B7E4-9245CFA2DAF1,C0A88A81-F749-4F51-A9E9-9D2469E08B94,01/19,2202,123,FT,ASP+GRS
5335,72E766E7-326F-4C72-B5EE-EC15373262E2,30FC02C0-4B23-44DB-B491-F92448A07938,01/19,750,300,FT,ASP+GRVL
18780,038B5ABF-5FAA-49E7-911C-7768719DA5D8,62F1CE01-5E5F-4EA4-98C1-269D3B2E8801,01/19,2400,300,FT,ASP+GRVL
136,A0F5B944-A027-4DDB-8D57-3AD12B2E5D02,20E74C94-3C37-4E88-9CCA-F03EBB6FEAAD,01/19,3997,100,FT,ASPH
161,95EE57A5-DCE3-4976-8411-02936B093619,4424E58F-2CC6-4CF3-A067-5ACF87EF423F,01/19,9000,150,FT,ASPH
175,F6329719-0849-41D6-AAD6-DF25C89EAB2A,2D8A90A9-1A57-4074-A821-9D9C37D434E0,01/19,6400,150,FT,ASPH
407,B2201BAE-B168-4DA8-B2E6-443295B23A1F,E15DBD84-632F-45B2-BBBC-DA4DE9399551,01/19,3992,75,FT,ASPH
701,9A7669F1-12F5-4945-919C-BCE69677B163,DCA7B73A-E2AA-431F-845A-17FE026ED948,01/19,3050,75,FT,ASPH
708,C7BA7541-1475-4860-992E-6DA44C93B6F4,7321D15B-D6D6-4A26-8EDC-BB95B80BDA1B,01/19,5005,150,FT,ASPH
711,286EF562-9CCA-422A-9E0B-F9CE9B88BD55,4E98704F-8154-40EF-A2AA-7E7450689A49,01/19,6604,100,FT,ASPH
940,3F7C452B-106D-4BDA-BB40-20B0578545E1,124221BD-E7D3-4C63-947F-9A693A574E2D,01/19,5003,80,FT,ASPH
967,A13DFA48-D978-405A-8B3C-2FA6B2C1F7DA,754F4B78-90FC-4867-B897-F41B4D052EF2,01/19,5144,80,FT,ASPH
1141,ACB4EEE0-B398-43CC-B128-3E2182330DD9,EBEF7F07-7C63-48E8-91F5-71E05E11FF28,01/19,6502,100,FT,ASPH
1160,8FC46ED7-3D65-49B4-AADD-7A0787DC3F19,0C100369-727B-4313-BBE5-126E5C1C2EE2,01/19,2980,50,FT,ASPH
1248,4ACD15BF-F139-44C6-9D2F-1EB8903CE6F7,AA18DC71-8FD6-4364-9E22-D2505C3A31B3,01/19,3994,75,FT,ASPH
1259,7FBF19FC-FB0C-4B41-85C3-098C0E2DC87C,67E57B0F-141C-4590-927E-6100CD2D840E,01/19,3799,75,FT,ASPH
1271,51F768FF-0487-4A5B-A075-64709E67C5F6,A5D477B2-8539-452F-AF5E-BFD129DF2DAC,01/19,6008,100,FT,ASPH
1276,5557F40D-B6F1-40EF-AF98-CAD453907EE0,A229C95F-4973-4DF7-98E9-E54F55053A51,01/19,3202,75,FT,ASPH
1342,1D19ED39-8C4C-43E8-B143-82B6190CF565,9AF68FC7-BF24-4077-908F-DB11C69AA515,01/19,4400,75,FT,ASPH
1459,A7FF7631-98FE-4496-8125-FB154627C9D6,A29699FC-E8D5-42DC-8B26-D8F8266BEED3,01/19,4199,45,FT,ASPH
1501,4FF892B6-8565-43DA-8381-0300147DB463,8F99F92D-DDC2-44E1-B49D-CE21ABC72D65,01/19,6250,100,FT,ASPH
1593,65001188-DCAB-4171-942E-B2AA1FF56CAB,F814E6B4-A908-4AF9-84D0-0AC543417E94,01/19,7150,100,FT,ASPH
1709,AD75D47E-FD77-42D9-B2CE-CCECFBB4F12B,F5A41941-2A4A-492B-9A82-4365F7008322,01/19,4670,44,FT,ASPH
1717,188E037B-65AC-4B50-A823-94269AD3D532,A74765EA-2BEC-49AB-A0E9-EA30250212CC,01/19,6350,75,FT,ASPH
1849,3295EB64-EBFD-404D-B19C-5633D86FC1A8,4216132E-9BC9-486F-BA8E-A3C531230B23,01/19,3995,75,FT,ASPH
1868,3B50E482-8057-47DC-ADC7-C7F9C642E103,07A263C0-1A92-4AB4-A3DB-14FA76FC425F,01/19,4501,150,FT,ASPH
1910,0A97BCA0-86D4-4FF3-B24A-EFBB7563C147,790F759E-F207-4E83-8EE3-E9E42C5A80BC,01/19,1800,300,FT,ASPH
2047,8D138FFB-D4C2-47F8-A724-40BD10BA7444,5F38C67F-6566-4777-9556-738EF699071D,01/19,4000,300,FT,ASPH
2142,14AC293C-AA17-44C2-88BD-9D8DC4F0CBF3,A0942D60-CCF1-4484-B0B1-3302057FB68F,01/19,2834,50,FT,ASPH
2178,08DF27EB-2548-4205-A40C-0C8CEB89F92A,E416D40B-F4B1-4BBD-AE51-2D1F5C287510,01/19,3401,60,FT,ASPH
2314,D2F3ABAE-0C99-405F-87D4-B4E4AAC1E06B,19A77E97-D852-49F1-8D34-A018EB33F446,01/19,6008,150,FT,ASPH
2830,210E1145-CACD-4C49-A079-01CB9E4BA18E,AF910249-7651-4F26-905F-F28F9572ECAB,01/19,5010,50,FT,ASPH
3086,17F55B01-5129-4614-9A4B-4232F68F6A50,4593AE17-A8D1-44DA-9A79-8125E23BDFEE,01/19,8100,100,FT,ASPH
3229,D1B5253A-781C-46EB-85C5-158CE93F0937,96204F8C-A545-4DF9-943D-5472C5BC1697,01/19,7169,150,FT,ASPH
